"response_id","user_id","survey_type","question_id","response","response_date"
"2272","a61d7ac3-aadd-4c81-8d37-b493882e9fdc","exit","Q8","3","2024-04-28 20:26:17.033+00"
"2273","a61d7ac3-aadd-4c81-8d37-b493882e9fdc","exit","Q9","3","2024-04-28 20:26:17.033+00"
"2274","a61d7ac3-aadd-4c81-8d37-b493882e9fdc","exit","Q10","3","2024-04-28 20:26:17.033+00"
"2275","a61d7ac3-aadd-4c81-8d37-b493882e9fdc","exit","Q11","3","2024-04-28 20:26:17.033+00"
"2276","a61d7ac3-aadd-4c81-8d37-b493882e9fdc","exit","Q12","3","2024-04-28 20:26:17.033+00"
"2277","a61d7ac3-aadd-4c81-8d37-b493882e9fdc","exit","Q13","4","2024-04-28 20:26:17.033+00"
"2278","a61d7ac3-aadd-4c81-8d37-b493882e9fdc","exit","Q14","4","2024-04-28 20:26:17.033+00"
"2279","a61d7ac3-aadd-4c81-8d37-b493882e9fdc","exit","Q15","4","2024-04-28 20:26:17.033+00"
"2280","a61d7ac3-aadd-4c81-8d37-b493882e9fdc","exit","Q16","3","2024-04-28 20:26:17.033+00"
"2281","a61d7ac3-aadd-4c81-8d37-b493882e9fdc","exit","Q17","5","2024-04-28 20:26:17.033+00"
"2282","a61d7ac3-aadd-4c81-8d37-b493882e9fdc","exit","Q18","4","2024-04-28 20:26:17.033+00"
"2283","a61d7ac3-aadd-4c81-8d37-b493882e9fdc","exit","Q19","4","2024-04-28 20:26:17.033+00"
"2284","a61d7ac3-aadd-4c81-8d37-b493882e9fdc","exit","Q20","3","2024-04-28 20:26:17.033+00"
"2285","a61d7ac3-aadd-4c81-8d37-b493882e9fdc","exit","A1","1","2024-04-28 20:26:17.033+00"
"2286","64b53075-3070-491c-a684-20240b6e89ac","exit","Q1","5","2024-04-29 08:41:36.614+00"
"2287","64b53075-3070-491c-a684-20240b6e89ac","exit","Q2","3","2024-04-29 08:41:36.615+00"
"2288","64b53075-3070-491c-a684-20240b6e89ac","exit","Q3","4","2024-04-29 08:41:36.615+00"
"2289","64b53075-3070-491c-a684-20240b6e89ac","exit","Q4","2","2024-04-29 08:41:36.615+00"
"2290","64b53075-3070-491c-a684-20240b6e89ac","exit","Q5","3","2024-04-29 08:41:36.615+00"
"2291","64b53075-3070-491c-a684-20240b6e89ac","exit","Q6","2","2024-04-29 08:41:36.615+00"
"2292","64b53075-3070-491c-a684-20240b6e89ac","exit","Q7","3","2024-04-29 08:41:36.615+00"
"2293","64b53075-3070-491c-a684-20240b6e89ac","exit","Q8","3","2024-04-29 08:41:36.615+00"
"2294","64b53075-3070-491c-a684-20240b6e89ac","exit","Q9","4","2024-04-29 08:41:36.615+00"
"2295","64b53075-3070-491c-a684-20240b6e89ac","exit","Q10","4","2024-04-29 08:41:36.615+00"
"2296","64b53075-3070-491c-a684-20240b6e89ac","exit","Q11","3","2024-04-29 08:41:36.615+00"
"2297","64b53075-3070-491c-a684-20240b6e89ac","exit","Q12","4","2024-04-29 08:41:36.615+00"
"2298","64b53075-3070-491c-a684-20240b6e89ac","exit","Q13","4","2024-04-29 08:41:36.615+00"
"2299","64b53075-3070-491c-a684-20240b6e89ac","exit","Q14","5","2024-04-29 08:41:36.615+00"
"2300","64b53075-3070-491c-a684-20240b6e89ac","exit","Q15","5","2024-04-29 08:41:36.615+00"
"2301","64b53075-3070-491c-a684-20240b6e89ac","exit","Q16","5","2024-04-29 08:41:36.615+00"
"2302","64b53075-3070-491c-a684-20240b6e89ac","exit","Q17","6","2024-04-29 08:41:36.615+00"
"2303","64b53075-3070-491c-a684-20240b6e89ac","exit","Q18","5","2024-04-29 08:41:36.615+00"
"2304","64b53075-3070-491c-a684-20240b6e89ac","exit","Q19","4","2024-04-29 08:41:36.615+00"
"2305","64b53075-3070-491c-a684-20240b6e89ac","exit","Q20","6","2024-04-29 08:41:36.615+00"
"2306","64b53075-3070-491c-a684-20240b6e89ac","exit","A1","0","2024-04-29 08:41:36.615+00"
"2307","848d2a3a-0719-4006-b331-7dc1e8c3511c","exit","Q1","3","2024-05-02 07:56:09.331+00"
"2308","848d2a3a-0719-4006-b331-7dc1e8c3511c","exit","Q2","4","2024-05-02 07:56:09.332+00"
"2309","848d2a3a-0719-4006-b331-7dc1e8c3511c","exit","Q3","4","2024-05-02 07:56:09.332+00"
"2310","848d2a3a-0719-4006-b331-7dc1e8c3511c","exit","Q4","4","2024-05-02 07:56:09.332+00"
"2311","848d2a3a-0719-4006-b331-7dc1e8c3511c","exit","Q5","2","2024-05-02 07:56:09.332+00"
"2312","848d2a3a-0719-4006-b331-7dc1e8c3511c","exit","Q6","2","2024-05-02 07:56:09.332+00"
"2313","848d2a3a-0719-4006-b331-7dc1e8c3511c","exit","Q7","3","2024-05-02 07:56:09.332+00"
"2314","848d2a3a-0719-4006-b331-7dc1e8c3511c","exit","Q8","1","2024-05-02 07:56:09.332+00"
"2315","848d2a3a-0719-4006-b331-7dc1e8c3511c","exit","Q9","3","2024-05-02 07:56:09.332+00"
"2316","848d2a3a-0719-4006-b331-7dc1e8c3511c","exit","Q10","3","2024-05-02 07:56:09.332+00"
"2317","848d2a3a-0719-4006-b331-7dc1e8c3511c","exit","Q11","2","2024-05-02 07:56:09.332+00"
"2318","848d2a3a-0719-4006-b331-7dc1e8c3511c","exit","Q12","4","2024-05-02 07:56:09.332+00"
"2319","848d2a3a-0719-4006-b331-7dc1e8c3511c","exit","Q13","3","2024-05-02 07:56:09.332+00"
"2320","848d2a3a-0719-4006-b331-7dc1e8c3511c","exit","Q14","5","2024-05-02 07:56:09.332+00"
"2321","848d2a3a-0719-4006-b331-7dc1e8c3511c","exit","Q15","6","2024-05-02 07:56:09.332+00"
"2322","848d2a3a-0719-4006-b331-7dc1e8c3511c","exit","Q16","6","2024-05-02 07:56:09.332+00"
"2323","848d2a3a-0719-4006-b331-7dc1e8c3511c","exit","Q17","6","2024-05-02 07:56:09.332+00"
"2324","848d2a3a-0719-4006-b331-7dc1e8c3511c","exit","Q18","6","2024-05-02 07:56:09.332+00"
"2325","848d2a3a-0719-4006-b331-7dc1e8c3511c","exit","Q19","5","2024-05-02 07:56:09.332+00"
"2326","848d2a3a-0719-4006-b331-7dc1e8c3511c","exit","Q20","3","2024-05-02 07:56:09.332+00"
"2327","848d2a3a-0719-4006-b331-7dc1e8c3511c","exit","A1","0","2024-05-02 07:56:09.332+00"
"2328","74f03bea-3389-4f4b-828a-9316d6ac5d17","exit","Q1","4","2024-05-02 09:44:05.359+00"
"2329","74f03bea-3389-4f4b-828a-9316d6ac5d17","exit","Q2","2","2024-05-02 09:44:05.359+00"
"2330","74f03bea-3389-4f4b-828a-9316d6ac5d17","exit","Q3","4","2024-05-02 09:44:05.359+00"
"2331","74f03bea-3389-4f4b-828a-9316d6ac5d17","exit","Q4","2","2024-05-02 09:44:05.359+00"
"2332","74f03bea-3389-4f4b-828a-9316d6ac5d17","exit","Q5","5","2024-05-02 09:44:05.359+00"
"2333","74f03bea-3389-4f4b-828a-9316d6ac5d17","exit","Q6","1","2024-05-02 09:44:05.359+00"
"2334","74f03bea-3389-4f4b-828a-9316d6ac5d17","exit","Q7","5","2024-05-02 09:44:05.359+00"
"2335","74f03bea-3389-4f4b-828a-9316d6ac5d17","exit","Q8","4","2024-05-02 09:44:05.359+00"
"2336","74f03bea-3389-4f4b-828a-9316d6ac5d17","exit","Q9","5","2024-05-02 09:44:05.359+00"
"2337","74f03bea-3389-4f4b-828a-9316d6ac5d17","exit","Q10","5","2024-05-02 09:44:05.359+00"
"2338","74f03bea-3389-4f4b-828a-9316d6ac5d17","exit","Q11","4","2024-05-02 09:44:05.359+00"
"2339","74f03bea-3389-4f4b-828a-9316d6ac5d17","exit","Q12","5","2024-05-02 09:44:05.359+00"
"2340","74f03bea-3389-4f4b-828a-9316d6ac5d17","exit","Q13","5","2024-05-02 09:44:05.359+00"
"2341","74f03bea-3389-4f4b-828a-9316d6ac5d17","exit","Q14","6","2024-05-02 09:44:05.359+00"
"2342","74f03bea-3389-4f4b-828a-9316d6ac5d17","exit","Q15","6","2024-05-02 09:44:05.359+00"
"2343","74f03bea-3389-4f4b-828a-9316d6ac5d17","exit","Q16","5","2024-05-02 09:44:05.359+00"
"2344","74f03bea-3389-4f4b-828a-9316d6ac5d17","exit","Q17","5","2024-05-02 09:44:05.359+00"
"2345","74f03bea-3389-4f4b-828a-9316d6ac5d17","exit","Q18","6","2024-05-02 09:44:05.359+00"
"2346","74f03bea-3389-4f4b-828a-9316d6ac5d17","exit","Q19","5","2024-05-02 09:44:05.359+00"
"2347","74f03bea-3389-4f4b-828a-9316d6ac5d17","exit","Q20","5","2024-05-02 09:44:05.359+00"
"2348","74f03bea-3389-4f4b-828a-9316d6ac5d17","exit","A1","0","2024-05-02 09:44:05.359+00"
